latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
26.52184,94.90439,344.61,0.45,0.63,2026-01-16,601,N20,VIIRS,n,2.0NRT,292.49,6.13,D
26.52383,94.91264,345.7,0.45,0.63,2026-01-16,601,N20,VIIRS,n,2.0NRT,290.93,6.13,D
26.52912,90.92896,326.07,0.78,0.78,2026-01-16,601,N20,VIIRS,n,2.0NRT,291.29,3.52,D
26.5644,98.52608,339.02,0.54,0.51,2026-01-16,601,N20,VIIRS,n,2.0NRT,286.43,12.54,D
26.61949,93.19092,326.31,0.57,0.69,2026-01-16,601,N20,VIIRS,n,2.0NRT,292.01,2.98,D
26.65667,95.18031,337.26,0.43,0.62,2026-01-16,601,N20,VIIRS,n,2.0NRT,290.97,3.91,D
26.65755,95.18398,335.34,0.43,0.62,2026-01-16,601,N20,VIIRS,n,2.0NRT,289.09,3.91,D
26.66173,95.17681,349.46,0.43,0.62,2026-01-16,601,N20,VIIRS,n,2.0NRT,294.85,39.45,D
26.66271,95.18085,348.29,0.43,0.62,2026-01-16,601,N20,VIIRS,n,2.0NRT,303.02,39.45,D
26.66355,95.18434,367.0,0.43,0.62,2026-01-16,601,N20,VIIRS,h,2.0NRT,294.36,46.69,D
26.66672,95.17297,333.65,0.43,0.62,2026-01-16,601,N20,VIIRS,n,2.0NRT,293.38,39.45,D
26.66772,95.17714,350.33,0.43,0.62,2026-01-16,601,N20,VIIRS,n,2.0NRT,301.0,39.45,D
26.66865,95.18098,350.96,0.43,0.62,2026-01-16,601,N20,VIIRS,n,2.0NRT,302.3,46.69,D
26.66957,95.18479,367.0,0.43,0.62,2026-01-16,601,N20,VIIRS,h,2.0NRT,291.63,46.69,D
26.67008,95.50031,327.81,0.41,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,288.51,2.86,D
26.78555,95.47518,355.9,0.41,0.61,2026-01-16,601,N20,VIIRS,l,2.0NRT,288.04,9.27,D
26.78629,95.45373,347.89,0.41,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.96,9.02,D
26.78952,95.46747,342.25,0.41,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,291.51,9.02,D
26.7908,95.47289,329.02,0.41,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,287.2,7.06,D
26.84888,99.91686,325.99,0.44,0.46,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.8,4.11,D
26.8579,95.51036,327.61,0.41,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,288.43,2.6,D
26.86123,95.50012,335.47,0.41,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,309.13,53.41,D
26.86192,95.50302,356.4,0.41,0.61,2026-01-16,601,N20,VIIRS,l,2.0NRT,289.16,23.65,D
26.86248,95.38351,337.18,0.42,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,294.44,6.74,D
