id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
121842,40.56989,111.43484,353.32,0.4,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,273.76,9.1,D
121843,40.57077,111.43722,334.63,0.39,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,271.59,5.73,D
121844,40.57866,111.4343,328.35,0.39,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,270.63,2.24,D
121845,40.58069,111.46301,340.01,0.39,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,273.89,4.04,D
121846,40.58463,111.46156,337.57,0.39,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,271.17,4.04,D
121847,40.58562,111.4661,326.62,0.39,0.44,2026-01-18,508,N,VIIRS,n,2.0NRT,271.29,6.68,D
121848,40.63578,111.07359,337.54,0.41,0.45,2026-01-18,508,N,VIIRS,n,2.0NRT,275.87,3.66,D
121849,40.64913,111.11444,338.17,0.41,0.45,2026-01-18,508,N,VIIRS,n,2.0NRT,276.92,7.56,D
121850,40.64927,111.1347,333.12,0.41,0.45,2026-01-18,508,N,VIIRS,n,2.0NRT,272.69,3.86,D
121851,40.65016,111.11913,345.76,0.41,0.45,2026-01-18,508,N,VIIRS,n,2.0NRT,274.6,7.56,D
121852,40.65119,111.12383,355.65,0.41,0.45,2026-01-18,508,N,VIIRS,n,2.0NRT,275.4,7.04,D
121853,40.65519,111.12234,329.9,0.41,0.45,2026-01-18,508,N,VIIRS,n,2.0NRT,273.59,7.04,D
121854,40.6642,111.12405,346.83,0.41,0.45,2026-01-18,508,N,VIIRS,n,2.0NRT,275.88,8.47,D
121855,40.67219,111.12106,339.38,0.41,0.45,2026-01-18,508,N,VIIRS,n,2.0NRT,279.21,6.84,D
121856,40.67321,111.12576,328.45,0.41,0.45,2026-01-18,508,N,VIIRS,n,2.0NRT,274.93,7.87,D
121857,40.68334,111.15233,350.42,0.4,0.45,2026-01-18,508,N,VIIRS,n,2.0NRT,275.6,4.62,D
121858,40.68834,111.15549,335.19,0.4,0.45,2026-01-18,508,N,VIIRS,n,2.0NRT,274.6,4.62,D
121859,41.28463,116.59173,344.01,0.39,0.36,2026-01-18,508,N,VIIRS,n,2.0NRT,267.81,2.18,D
121860,41.2854,116.59634,340.23,0.39,0.36,2026-01-18,508,N,VIIRS,n,2.0NRT,267.55,2.18,D
121861,41.28794,116.59077,357.2,0.39,0.36,2026-01-18,508,N,VIIRS,l,2.0NRT,268.38,12.4,D
121862,41.2887,116.59538,357.2,0.39,0.36,2026-01-18,508,N,VIIRS,l,2.0NRT,269.04,12.4,D
121863,5.06087,95.37363,341.49,0.51,0.49,2026-01-18,637,N,VIIRS,n,2.0NRT,297.67,9.81,D
121864,5.96597,102.13091,330.51,0.38,0.36,2026-01-18,637,N,VIIRS,n,2.0NRT,295.98,2.2,D
121865,6.18535,100.63975,325.67,0.4,0.37,2026-01-18,637,N,VIIRS,n,2.0NRT,280.74,0.93,D
121866,6.55648,100.82431,331.28,0.39,0.36,2026-01-18,637,N,VIIRS,n,2.0NRT,293.46,1.65,D
121867,6.63177,100.93526,330.2,0.39,0.36,2026-01-18,637,N,VIIRS,n,2.0NRT,300.72,1.76,D
121868,8.15047,99.25643,334.29,0.42,0.38,2026-01-18,639,N,VIIRS,n,2.0NRT,291.49,4.51,D
121869,9.36219,99.13734,327.65,0.42,0.37,2026-01-18,639,N,VIIRS,n,2.0NRT,296.54,1.64,D
121870,9.62234,99.12962,327.77,0.41,0.37,2026-01-18,639,N,VIIRS,n,2.0NRT,297.98,2.35,D
121871,9.62337,99.12971,328.0,0.42,0.37,2026-01-18,639,N,VIIRS,n,2.0NRT,297.77,1.99,D
121872,9.74148,106.06551,331.33,0.39,0.44,2026-01-18,639,N,VIIRS,n,2.0NRT,295.86,2.31,D
121873,9.78058,105.86706,329.57,0.56,0.43,2026-01-18,639,N,VIIRS,n,2.0NRT,294.79,4.35,D
121874,10.31398,104.70038,338.31,0.49,0.4,2026-01-18,639,N,VIIRS,n,2.0NRT,297.27,5.74,D
121875,10.38078,108.36498,334.34,0.55,0.51,2026-01-18,639,N,VIIRS,n,2.0NRT,278.76,4.54,D
121876,10.62961,106.08772,331.61,0.4,0.44,2026-01-18,639,N,VIIRS,n,2.0NRT,293.34,2.61,D
121877,10.63654,105.68902,333.73,0.56,0.43,2026-01-18,639,N,VIIRS,n,2.0NRT,293.32,7.8,D
